iter	Passed	Remaining
0	0	76
1	1	71
2	2	69
3	2	64
4	3	62
5	3	61
6	4	61
7	5	61
8	6	61
9	6	60
10	7	60
11	8	59
12	8	59
13	9	58
14	10	57
15	10	57
16	11	57
17	12	56
18	13	56
19	13	55
20	14	55
21	15	54
22	16	53
23	16	53
24	17	52
25	18	52
26	19	51
27	19	50
28	20	50
29	21	49
30	21	48
31	22	48
32	23	47
33	24	46
34	24	46
35	25	45
36	26	44
37	27	44
38	27	43
39	28	43
40	29	42
41	30	41
42	30	41
43	31	40
44	32	40
45	33	39
46	34	39
47	35	38
48	36	37
49	37	37
50	38	36
51	39	36
52	40	35
53	40	34
54	41	34
55	42	33
56	43	32
57	44	31
58	45	31
59	46	30
60	46	29
61	47	29
62	48	28
63	49	27
64	50	27
65	51	26
66	52	25
67	53	25
68	54	24
69	55	23
70	56	23
71	57	22
72	58	21
73	59	20
74	60	20
75	61	19
76	62	18
77	63	17
78	64	17
79	64	16
80	65	15
81	66	14
82	67	13
83	68	13
84	69	12
85	70	11
86	70	10
87	71	9
88	72	8
89	73	8
90	74	7
91	75	6
92	76	5
93	77	4
94	78	4
95	79	3
96	80	2
97	81	1
98	81	0
99	82	0
