iter	Passed	Remaining
0	132	132044
1	132	66282
2	133	44328
3	133	33356
4	134	26784
5	135	22392
6	135	19267
7	136	16938
8	137	15119
9	137	13654
10	138	12454
11	139	11451
12	139	10603
13	140	9880
14	140	9251
15	141	8715
16	142	8239
17	143	7812
18	143	7432
19	144	7092
20	145	6775
21	146	6495
22	146	6234
23	147	5998
24	148	5782
25	148	5580
26	149	5396
27	150	5221
28	151	5059
29	151	4906
30	152	4761
31	153	4628
32	153	4506
33	154	4391
34	155	4280
35	155	4174
36	156	4075
37	158	4001
38	158	3912
39	159	3826
40	160	3748
41	161	3673
42	161	3601
43	162	3529
44	163	3461
45	163	3396
46	164	3332
47	165	3272
48	166	3227
49	167	3175
50	167	3124
51	168	3073
52	169	3023
53	169	2974
54	170	2927
55	171	2885
56	172	2845
57	172	2809
58	173	2771
59	174	2734
60	175	2697
61	175	2662
62	176	2628
63	177	2594
64	178	2562
65	179	2533
66	179	2504
67	180	2475
68	181	2446
69	182	2420
70	182	2392
71	183	2365
72	184	2339
73	185	2315
74	185	2290
75	186	2266
76	187	2241
77	187	2217
78	188	2193
79	188	2170
80	189	2148
81	189	2126
82	190	2102
83	190	2082
84	191	2062
85	192	2042
86	192	2024
87	193	2005
88	194	1986
89	194	1968
90	195	1950
91	195	1932
92	196	1916
93	197	1900
94	197	1885
95	198	1869
96	199	1854
97	199	1839
98	200	1824
99	201	1809
100	201	1796
101	202	1783
102	203	1771
103	204	1758
104	204	1745
105	205	1732
106	206	1719
107	206	1706
108	207	1693
109	207	1680
110	208	1668
111	208	1656
112	209	1644
113	210	1633
114	210	1622
115	211	1612
116	212	1600
117	213	1592
118	213	1583
119	214	1572
120	215	1562
121	215	1551
122	216	1542
123	216	1532
124	217	1522
125	218	1513
126	218	1502
127	219	1493
128	219	1483
129	220	1474
130	220	1465
131	221	1457
132	222	1449
133	223	1441
134	223	1433
135	224	1425
136	225	1417
137	225	1408
138	226	1400
139	226	1392
140	227	1384
141	227	1375
142	228	1369
143	229	1362
144	229	1355
145	230	1348
146	231	1341
147	231	1334
148	232	1327
149	233	1320
150	233	1313
151	234	1306
152	234	1300
153	235	1294
154	236	1287
155	236	1281
156	237	1274
157	237	1268
158	238	1261
159	239	1255
160	239	1248
161	240	1242
162	240	1237
163	241	1232
164	242	1226
165	243	1221
166	243	1214
167	244	1208
168	244	1203
169	245	1197
170	245	1191
171	246	1186
172	247	1181
173	247	1176
174	248	1171
175	249	1166
176	249	1161
177	250	1155
178	250	1150
179	251	1145
180	251	1140
181	252	1135
182	253	1130
183	253	1126
184	254	1121
185	255	1117
186	255	1112
187	256	1108
188	257	1104
189	257	1099
190	258	1095
191	259	1091
192	260	1087
193	260	1083
194	261	1079
195	262	1075
196	262	1071
197	263	1066
198	263	1062
199	264	1058
200	265	1056
201	266	1053
202	267	1049
203	267	1045
204	268	1041
205	269	1037
206	269	1033
207	270	1029
208	271	1025
209	271	1021
210	272	1018
211	272	1014
212	273	1010
213	274	1007
214	274	1003
215	275	999
216	275	995
217	276	991
218	276	987
219	277	983
220	278	980
221	278	977
222	279	974
223	280	970
224	280	967
225	281	963
226	281	959
227	282	956
228	282	952
229	283	949
230	284	945
231	285	943
232	285	940
233	286	937
234	287	934
235	287	930
236	288	927
237	288	924
238	289	921
239	289	918
240	290	914
241	291	912
242	291	909
243	292	906
244	293	903
245	293	900
246	294	897
247	294	894
248	295	890
249	295	887
250	296	884
251	297	881
252	297	879
253	298	876
254	299	874
255	299	871
256	300	868
257	301	866
258	301	863
259	302	860
260	303	858
261	303	856
262	304	853
263	305	851
264	306	849
265	306	847
266	307	844
267	308	842
268	309	839
269	309	837
270	310	835
271	311	833
272	311	830
273	312	828
274	313	825
275	313	822
276	314	820
277	314	817
278	315	815
279	316	812
280	316	810
281	317	808
282	318	806
283	318	803
284	319	801
285	320	799
286	320	796
287	321	794
288	321	791
289	322	789
290	323	787
291	323	785
292	324	783
293	325	780
294	325	778
295	326	776
296	327	774
297	327	771
298	328	769
299	329	767
300	329	765
301	330	763
302	331	761
303	331	759
304	332	756
305	332	754
306	333	752
307	333	750
308	334	748
309	335	746
310	336	744
311	336	742
312	337	740
313	337	738
314	338	736
315	339	733
316	339	731
317	340	729
318	341	728
319	341	726
320	342	724
321	343	722
322	343	720
323	344	718
324	344	715
325	345	713
326	345	712
327	346	710
328	347	708
329	348	706
330	348	705
331	349	703
332	350	701
333	350	699
334	351	697
335	351	695
336	352	693
337	352	691
338	353	689
339	354	687
340	355	686
341	355	684
342	356	682
343	357	680
344	357	679
345	358	677
346	358	675
347	359	673
348	360	671
349	360	669
350	361	667
351	361	666
352	362	664
353	362	662
354	363	660
355	364	658
356	364	656
357	365	655
358	365	653
359	366	651
360	367	650
361	367	648
362	368	646
363	369	644
364	369	643
365	370	641
366	370	639
367	371	637
368	372	636
369	372	634
370	373	633
371	374	631
372	374	629
373	375	628
374	376	626
375	376	625
376	377	623
377	377	621
378	378	620
379	379	618
380	379	617
381	380	615
382	381	614
383	381	612
384	382	610
385	383	609
386	383	607
387	384	606
388	385	605
389	385	603
390	386	601
391	387	600
392	387	598
393	388	597
394	388	595
395	389	593
396	389	592
397	390	590
398	391	589
399	392	588
400	392	586
401	393	585
402	393	583
403	394	582
404	395	580
405	395	578
406	396	577
407	396	575
408	397	574
409	398	573
410	398	571
411	399	570
412	400	568
413	400	567
414	401	566
415	402	564
416	402	563
417	403	562
418	404	560
419	405	559
420	406	558
421	406	557
422	407	555
423	408	554
424	408	552
425	409	551
426	410	550
427	410	548
428	411	547
429	412	546
430	412	545
431	413	543
432	414	542
433	414	541
434	415	539
435	416	538
436	416	537
437	417	535
438	418	534
439	418	532
440	419	531
441	419	530
442	420	528
443	421	527
444	421	525
445	422	524
446	423	523
447	423	522
448	424	520
449	425	519
450	425	518
451	426	516
452	426	515
453	427	514
454	428	513
455	429	512
456	429	510
457	430	509
458	431	508
459	431	506
460	432	505
461	433	504
462	433	503
463	434	501
464	435	500
465	435	499
466	436	498
467	437	497
468	437	495
469	438	494
470	439	493
471	439	491
472	440	490
473	441	489
474	441	488
475	442	487
476	443	486
477	443	484
478	444	483
479	445	482
480	445	480
481	446	479
482	447	478
483	447	477
484	448	476
485	449	475
486	449	473
487	450	472
488	451	471
489	451	470
490	452	468
491	453	467
492	453	466
493	454	465
494	455	464
495	455	463
496	456	461
497	456	460
498	457	459
499	457	457
500	458	456
501	459	455
502	459	454
503	460	453
504	461	452
505	461	450
506	462	449
507	463	448
508	463	447
509	464	446
510	464	444
511	465	443
512	466	442
513	467	441
514	467	440
515	468	439
516	468	438
517	469	436
518	470	435
519	470	434
520	471	433
521	472	432
522	472	431
523	473	429
524	473	428
525	474	427
526	475	426
527	475	425
528	476	423
529	476	422
530	477	421
531	477	420
532	478	419
533	479	418
534	479	416
535	480	415
536	480	414
537	481	413
538	482	412
539	482	411
540	483	409
541	483	408
542	484	407
543	485	406
544	485	405
545	486	404
546	487	403
547	487	402
548	488	401
549	488	399
550	489	398
551	489	397
552	490	396
553	491	395
554	492	394
555	492	393
556	493	392
557	494	391
558	494	390
559	495	389
560	496	388
561	496	387
562	497	386
563	498	385
564	498	384
565	499	383
566	500	382
567	500	381
568	501	379
569	502	378
570	502	377
571	503	376
572	504	375
573	504	374
574	505	373
575	506	372
576	506	371
577	507	370
578	507	369
579	508	368
580	509	367
581	510	366
582	510	365
583	511	364
584	511	363
585	512	362
586	513	360
587	513	359
588	514	358
589	514	357
590	515	356
591	516	355
592	516	354
593	517	353
594	518	352
595	518	351
596	519	350
597	520	349
598	520	348
599	521	347
600	522	346
601	522	345
602	523	344
603	524	343
604	524	342
605	525	341
606	526	340
607	526	339
608	527	338
609	528	338
610	529	337
611	530	336
612	530	335
613	531	334
614	532	333
615	532	332
616	533	331
617	534	330
618	535	329
619	536	328
620	536	327
621	537	326
622	538	325
623	539	324
624	539	323
625	540	322
626	541	321
627	541	320
628	542	320
629	543	319
630	544	318
631	544	317
632	545	316
633	546	315
634	546	314
635	547	313
636	548	312
637	549	311
638	549	310
639	550	309
640	551	308
641	551	307
642	552	306
643	553	305
644	553	304
645	554	303
646	555	302
647	555	301
648	556	301
649	557	300
650	558	299
651	558	298
652	559	297
653	560	296
654	560	295
655	561	294
656	562	293
657	563	292
658	563	291
659	564	290
660	565	289
661	565	288
662	566	287
663	567	287
664	568	286
665	568	285
666	569	284
667	570	283
668	570	282
669	571	281
670	571	280
671	572	279
672	573	278
673	573	277
674	574	276
675	575	275
676	575	274
677	576	273
678	577	272
679	577	271
680	578	270
681	579	270
682	579	269
683	580	268
684	581	267
685	581	266
686	582	265
687	583	264
688	583	263
689	584	262
690	584	261
691	585	260
692	586	259
693	587	258
694	587	257
695	588	257
696	589	256
697	589	255
698	590	254
699	590	253
700	591	252
701	592	251
702	592	250
703	593	249
704	594	248
705	594	247
706	595	246
707	596	245
708	596	244
709	597	244
710	598	243
711	598	242
712	599	241
713	600	240
714	600	239
715	601	238
716	602	237
717	602	236
718	603	235
719	603	234
720	604	233
721	605	233
722	605	232
723	606	231
724	607	230
725	607	229
726	608	228
727	609	227
728	609	226
729	610	225
730	611	225
731	612	224
732	612	223
733	613	222
734	614	221
735	614	220
736	615	219
737	616	218
738	617	217
739	617	217
740	618	216
741	619	215
742	619	214
743	620	213
744	621	212
745	622	211
746	622	210
747	623	210
748	624	209
749	625	208
750	625	207
751	626	206
752	627	205
753	627	204
754	628	203
755	629	203
756	629	202
757	630	201
758	630	200
759	631	199
760	632	198
761	632	197
762	633	196
763	634	195
764	635	195
765	635	194
766	636	193
767	637	192
768	637	191
769	638	190
770	639	189
771	640	189
772	640	188
773	641	187
774	643	186
775	643	185
776	644	185
777	645	184
778	646	183
779	646	182
780	647	181
781	648	180
782	649	179
783	650	179
784	650	178
785	651	177
786	652	176
787	652	175
788	653	174
789	654	174
790	655	173
791	656	172
792	656	171
793	657	170
794	658	169
795	658	168
796	659	167
797	660	167
798	661	166
799	661	165
800	662	164
801	663	163
802	664	162
803	664	162
804	665	161
805	666	160
806	667	159
807	667	158
808	668	157
809	669	156
810	669	156
811	670	155
812	671	154
813	671	153
814	672	152
815	673	151
816	673	150
817	674	150
818	675	149
819	675	148
820	676	147
821	677	146
822	677	145
823	678	144
824	679	144
825	679	143
826	680	142
827	681	141
828	681	140
829	682	139
830	683	138
831	683	138
832	684	137
833	684	136
834	685	135
835	686	134
836	687	133
837	687	132
838	688	132
839	688	131
840	689	130
841	690	129
842	690	128
843	691	127
844	692	126
845	693	126
846	693	125
847	694	124
848	694	123
849	695	122
850	696	121
851	696	121
852	697	120
853	698	119
854	698	118
855	699	117
856	700	116
857	700	115
858	701	115
859	701	114
860	702	113
861	702	112
862	703	111
863	704	110
864	704	110
865	705	109
866	706	108
867	706	107
868	707	106
869	707	105
870	708	104
871	708	104
872	709	103
873	710	102
874	710	101
875	711	100
876	712	99
877	712	99
878	713	98
879	713	97
880	714	96
881	715	95
882	715	94
883	716	93
884	716	93
885	717	92
886	718	91
887	719	90
888	719	89
889	720	89
890	720	88
891	721	87
892	722	86
893	723	85
894	723	84
895	724	84
896	725	83
897	725	82
898	726	81
899	727	80
900	727	79
901	728	79
902	729	78
903	729	77
904	730	76
905	731	75
906	732	75
907	732	74
908	733	73
909	733	72
910	734	71
911	735	70
912	736	70
913	736	69
914	737	68
915	738	67
916	738	66
917	739	66
918	739	65
919	740	64
920	741	63
921	741	62
922	742	61
923	743	61
924	743	60
925	744	59
926	745	58
927	745	57
928	746	57
929	746	56
930	747	55
931	748	54
932	748	53
933	749	52
934	750	52
935	750	51
936	751	50
937	752	49
938	752	48
939	753	48
940	754	47
941	754	46
942	755	45
943	756	44
944	756	44
945	757	43
946	757	42
947	758	41
948	759	40
949	759	39
950	760	39
951	761	38
952	761	37
953	762	36
954	763	35
955	764	35
956	764	34
957	765	33
958	766	32
959	766	31
960	767	31
961	768	30
962	769	29
963	769	28
964	770	27
965	771	27
966	771	26
967	772	25
968	773	24
969	773	23
970	774	23
971	775	22
972	775	21
973	776	20
974	777	19
975	777	19
976	778	18
977	778	17
978	779	16
979	780	15
980	781	15
981	782	14
982	782	13
983	783	12
984	783	11
985	784	11
986	785	10
987	786	9
988	786	8
989	787	7
990	788	7
991	788	6
992	789	5
993	790	4
994	791	3
995	791	3
996	792	2
997	793	1
998	794	0
999	794	0
